speed_mph,height_ft,inversions_clean,gforce_clean
46.6,95.1,4,3.5
60.0,145.0,3,5.2
49.7,147.6,0,3.0
37.3,83.7,0,4.0
55.9,118.1,7,3.9
49.7,101.7,5,4.5
66.5,180.4,3,4.0
50.3,42.7,4,3.5
54.7,109.3,5,4.0
52.8,131.2,2,3.0
65.0,148.0,8,4.0
100.0,377.3,0,4.5
68.4,65.0,0,4.5
43.5,78.7,3,3.8
43.5,98.4,0,2.0
68.4,164.0,0,4.5
52.8,131.2,2,3.0
26.0,48.9,0,2.2
46.6,65.6,2,3.5
26.0,48.9,0,2.2
27.7,55.8,0,2.4
78.9,239.5,0,4.0
49.7,95.1,4,5.0
80.8,262.5,0,4.4
46.6,49.2,0,2.5
47.8,91.9,3,4.0
49.7,84.3,4,5.0
49.7,98.4,0,4.0
61.1,60.4,0,4.7
62.1,131.2,0,4.2
42.9,59.1,0,2.0
24.9,147.6,0,3.26
34.2,64.3,0,2.5
54.0,104.7,0,2.4
77.1,229.7,0,4.5
43.5,19.7,0,2.5
46.6,110.2,4,4.0
30.0,48.9,0,2.2
68.4,213.3,1,4.0
62.1,131.2,1,4.3
43.5,72.2,3,4.5
37.3,116.5,0,3.5
149.1,170.6,0,4.8
52.8,105.0,5,4.3
37.3,65.6,0,3.0
65.2,151.6,2,5.0
41.0,108.3,2,3.5
22.4,26.2,0,4.0
54.7,109.3,5,4.0
31.1,49.2,0,2.9
92.0,306.1,0,4.5
83.3,249.3,0,3.8
59.0,126.6,5,4.5
52.8,98.4,3,4.5
99.4,123.0,0,5.6
43.5,91.9,0,3.0
51.6,108.3,0,4.3
62.1,131.2,5,4.0
62.1,134.5,7,4.3
38.5,62.3,2,3.9
78.9,239.5,1,5.0
74.6,206.7,1,5.0
49.2,81.0,3,3.8
54.1,105.0,2,4.3
71.5,183.7,3,4.0
71.5,202.1,0,4.3
88.2,252.6,1,4.8
66.5,180.4,3,4.0
75.2,206.0,3,4.0
62.1,142.7,0,4.5
