overall,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_reflexes
93,85,95,70,91,88,95.0,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,35,24,6,11,15,8
92,71,95,90,85,89,86.0,79,85,70,88,77,79,77,93,82,90,85,76,86,87,81,49,95,81,90,88,42,19,15,6,12,10
91,87,95,90,80,86,88.0,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,32,24,7,11,15,11
91,85,83,63,86,86,94.0,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93,32,29,9,9,15,11
91,94,82,55,94,82,88.0,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,65,53,15,13,5,13
91,78,93,72,85,83,92.0,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,34,32,13,5,7,6
90,80,94,86,85,88,83.0,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,36,38,8,10,11,11
90,68,65,54,82,56,82.0,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,93,86,15,12,10,10
89,75,90,89,86,86,87.0,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,24,18,13,11,5,7
89,83,88,68,84,78,86.0,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,34,33,11,13,13,10
89,58,64,79,84,62,73.0,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,88,87,13,14,16,12
89,53,52,87,79,45,72.0,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,86,13,10,13,11
89,78,86,84,84,75,89.0,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,38,10,10,15,14
89,79,91,59,84,81,90.0,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,43,41,14,14,9,14
89,91,68,72,87,69,84.0,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,79,8,15,7,15
88,66,65,92,82,69,74.0,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,89,91,11,8,9,11
88,80,93,84,83,90,84.0,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,45,38,27,25,31,37
88,88,77,58,93,82,81.0,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,73,60,10,11,13,10
88,73,92,89,77,78,78.0,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,41,30,8,15,14,10
88,79,85,46,83,67,87.0,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,53,47,15,12,12,9
88,87,83,64,91,87,84.0,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,73,65,12,14,15,14
88,47,94,69,77,88,80.0,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,43,30,7,14,13,7
87,70,93,78,80,85,87.0,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,29,24,13,15,6,14
87,86,72,55,91,76,88.0,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,75,71,13,9,7,9
87,88,79,51,84,78,87.0,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,55,52,10,7,11,11
87,85,88,81,85,84,80.0,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,57,46,6,7,11,14
87,55,91,81,80,85,81.0,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,33,32,6,8,15,6
87,77,75,74,88,84,86.0,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,67,63,5,6,2,3
87,82,60,57,90,64,91.0,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,82,84,12,12,15,10
87,68,51,88,84,35,74.0,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,6,6,12,13
